Date,JSE.ABSP.Close,JSE.BVT.Close,JSE.FSR.Close,JSE.NBKP.Close,JSE.RMH.Close,JSE.SBK.Close,JSE.SLM.Close
2007/05/07,88500,14168,2461,1090,3623,10900,2353
2007/05/08,92000,14110,2420,1080,3575,10700,2251
2007/05/09,91200,14109,2416,1090,3585,10960,2241
2007/05/10,91200,14257,2465,1086,3650,11040,2236
2007/05/11,91200,14178,2459,1090,3597,11160,2200
2007/05/14,90000,13911,2415,1091,3550,10802,2250
2007/05/15,91000,14160,2370,1112,3520,10700,2230
2007/05/16,91499,13861,2325,1107,3485,10545,2215
2007/05/17,91200,13541,2325,1107,3451,10512,2200
2007/05/18,91300,14037,2330,1099,3484,10700,2182
2007/05/21,91400,14059,2343,1100,3484,10795,2215
2007/05/22,91300,14059,2405,1100,3500,10860,2246
2007/05/23,91100,14505,2485,1100,3645,11086,2315
2007/05/24,91100,13960,2405,1114,3621,11020,2301
2007/05/25,90000,14060,2375,1110,3590,10925,2291
2007/05/28,90000,14257,2385,1111,3520,10970,2299
2007/05/29,90000,14480,2397,1130,3499,10900,2300
2007/05/30,89000,14361,2315,1125,3441,10625,2274
2007/05/31,89800,14209,2289,1120,3465,10525,2300
2007/06/01,89600,14158,2290,1130,3420,10689,2321
2007/06/04,89100,14011.88,2280,1105,3360,10400,2276
2007/06/05,89600,13861,2284,1125,3400,10350,2279
2007/06/06,88800,13792,2275,1110,3356,10350,2260
2007/06/07,89500,13861,2300,1120,3379,10500,2285
2007/06/08,89700,13860,2239,1120,3328,10200,2269
2007/06/11,89500,14082,2305,1100,3410,10375,2331
2007/06/12,90000,13960,2277,1110,3350,10240,2287
2007/06/13,91000,14063,2300,1105,3385,10330,2267
2007/06/14,91000,14059,2374,1105,3470,10650,2302
2007/06/15,90010,14084,2369,1090,3550,10651,2300
2007/06/18,90500,14060,2331,1070,3459,10611,2310
2007/06/19,90250,14228,2360,1076,3460,10679,2300
2007/06/20,90100,14505,2350,1075,3450,10605,2292
2007/06/21,90000,14554,2330,1085,3428,10400,2265
2007/06/22,90000,14277,2306,1060,3400,10340,2252
2007/06/25,90000,14256,2300,1075,3406,10125,2242
2007/06/26,89999,14059,2230,1080,3305,10000,2222
2007/06/27,89683,14000,2187,1070,3266,10050,2195
2007/06/28,89600,13985,2240,1072,3300,9978,2231
2007/06/29,89595,14260,2260,1076,3286,9830,2249
2007/07/02,89400,14149,2275,1070,3320,10060,2237
2007/07/03,89400,14098,2280,1065,3320,10000,2215
2007/07/04,89400,14015,2235,1065,3250,9990,2217
2007/07/05,89400,14460,2220,1070,3230,9812,2196
2007/07/06,90000,14501,2275,1070,3300,10300,2208
2007/07/09,89450,14574,2320,1070,3440,10465,2225
2007/07/10,89401,14258,2390,1070,3550,10740,2255
2007/07/11,89400,14455,2400,1065,3550,10694,2250
2007/07/12,89400,14629,2365,1060,3466,10770,2255
2007/07/13,89400,14630,2355,1080,3460,10820,2277
